run_name,task_scope,num_dev,num_correct,mcq_acc,free_form_acc,overall_acc,train_time_sec
majority_label_baseline_mcq_only,MCQ only,75,10,13.333333333333334,N/A,N/A,0.0007171630859375
bow_logistic_regression_mcq_only,MCQ only,75,9,12.0,N/A,N/A,282.6762549877167
bow_mlp_mcq_only,MCQ only,75,8,10.666666666666666,N/A,N/A,82.93128681182861
